Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,
1.8887,0.193253,0.981137,0.00477052,0.532425,-0.846445,-0.00738249,0.195934,0.98061,0.00371778,
1.8988,0.197662,0.980259,0.00470195,0.53863,-0.842511,-0.00725906,0.199143,0.979964,0.00370178,
1.9089,0.201819,0.979414,0.00427082,0.544514,-0.838725,-0.00672529,0.202286,0.97932,0.00356537,
1.919,0.205418,0.978668,0.00354001,0.549786,-0.835285,-0.00587087,0.205257,0.978703,0.00329544,
1.9291,0.208228,0.978077,0.00260392,0.554243,-0.832341,-0.00481008,0.207933,0.978139,0.00288053,
1.9392,0.210115,0.977675,0.00157664,0.557787,-0.829976,-0.0036635,0.210179,0.97766,0.00232283,
1.9493,0.211056,0.977474,0.00057727,0.560413,-0.82821,-0.00254287,0.211866,0.977297,0.00164699,
1.9594,0.211133,0.977457,-0.000285381,0.562193,-0.827005,-0.00154105,0.212901,0.977073,0.000903133,
1.9695,0.210521,0.977589,-0.000926663,0.563262,-0.826278,-0.000727452,0.213245,0.976999,0.000162928,
1.9796,0.209456,0.977817,-0.00129609,0.563793,-0.825916,-0.000148069,0.212937,0.977066,-0.000490379,
1.9897,0.208202,0.978085,-0.00138177,0.563982,-0.825787,0.00017203,0.212092,0.977249,-0.000975637,
1.9998,0.207014,0.978337,-0.00120854,0.564036,-0.82575,0.000225544,0.210901,0.977507,-0.00122812,
2.0099,0.206107,0.978529,-0.000830128,0.564157,-0.825667,2.0707e-05,0.2096,0.977786,-0.00121138,
2.02,0.205635,0.978629,-0.000317325,0.564539,-0.825406,-0.000419453,0.208445,0.978034,-0.000924136,
2.0301,0.205679,0.97862,0.000255513,0.56535,-0.82485,-0.00105683,0.207677,0.978197,-0.000400969,
2.0402,0.206252,0.978498,0.000822527,0.566725,-0.823905,-0.00183814,0.207484,0.978238,0.000293093,
2.0503,0.207316,0.978273,0.00133468,0.56875,-0.822506,-0.00269636,0.207984,0.978132,0.00107282,
2.0604,0.208796,0.977958,0.00176294,0.571455,-0.820626,-0.00355489,0.20921,0.977869,0.00184566,
2.0705,0.210604,0.977569,0.00209647,0.574805,-0.818279,-0.00433446,0.211108,0.97746,0.00252478,
2.0806,0.212653,0.977125,0.00233697,0.578705,-0.815522,-0.00496198,0.213551,0.976927,0.00304013,
2.0907,0.214862,0.976641,0.00249153,0.583003,-0.812452,-0.00537975,0.21636,0.976308,0.00334609,
2.1008,0.217164,0.976132,0.00256627,0.587516,-0.809194,-0.00555303,0.219329,0.975645,0.00342484,
2.1109,0.219493,0.975611,0.00256251,0.592041,-0.805889,-0.00547432,0.222251,0.974984,0.00328583,
2.121,0.221784,0.975093,0.00247658,0.596387,-0.802681,-0.00516356,0.224943,0.974368,0.00296172,
2.1311,0.223964,0.974595,0.0023028,0.600391,-0.799693,-0.00466426,0.227259,0.973831,0.00250223,
2.1412,0.225954,0.974136,0.00203865,0.603934,-0.797024,-0.00403664,0.229107,0.973399,0.00196657,
2.1513,0.227672,0.973736,0.0016901,0.606951,-0.794732,-0.00334907,0.230452,0.973083,0.00141581,
2.1614,0.229047,0.973414,0.00127557,0.60943,-0.792835,-0.00266963,0.23131,0.97288,0.000905963,
2.1715,0.230029,0.973183,0.000827012,0.611408,-0.791313,-0.00205884,0.231745,0.972776,0.000482424,
2.1816,0.230601,0.973048,0.000387464,0.612965,-0.790109,-0.0015646,0.231855,0.97275,0.000176288,
2.1917,0.230791,0.973003,5.57672e-06,0.614205,-0.789146,-0.00121946,0.231756,0.972774,2.75397e-06,
2.2018,0.230673,0.973031,-0.000271984,0.615253,-0.788329,-0.00104015,0.231571,0.972818,-3.84023e-05,
2.2119,0.230361,0.973105,-0.000408586,0.616236,-0.787561,-0.0010287,0.231415,0.972855,3.94687e-05,
2.222,0.229996,0.973191,-0.000384418,0.617277,-0.786745,-0.00117442,0.231384,0.972863,0.00021351,
2.2321,0.229731,0.973254,-0.00020057,0.618485,-0.785795,-0.00145631,0.23155,0.972823,0.000455646,
2.2422,0.229704,0.97326,0.000120508,0.61995,-0.784639,-0.00184532,0.231959,0.972725,0.000736807,
2.2523,0.230025,0.973185,0.000538245,0.621737,-0.783223,-0.00230643,0.232628,0.972565,0.0010304,
2.2624,0.230758,0.973011,0.00100026,0.623883,-0.781513,-0.00280071,0.233557,0.972342,0.0013146,
2.2725,0.231916,0.972735,0.00145045,0.626394,-0.779499,-0.00328751,0.234724,0.972061,0.00157311,
2.2826,0.23346,0.972365,0.00183729,0.629249,-0.777195,-0.00372712,0.236101,0.971727,0.00179478,
2.2927,0.235308,0.971918,0.00212088,0.632394,-0.774636,-0.00408372,0.237648,0.971349,0.00197223,
2.3028,0.23735,0.971421,0.00227751,0.635754,-0.77188,-0.00432858,0.239326,0.970937,0.00210022,
2.3129,0.239464,0.970902,0.00230131,0.639236,-0.768998,-0.00444295,0.241089,0.9705,0.00217438,
2.323,0.241531,0.970391,0.002203,0.642737,-0.766074,-0.00442018,0.24289,0.970051,0.00219066,
2.3331,0.243451,0.969911,0.0020063,0.646157,-0.763193,-0.00426657,0.244677,0.969602,0.00214583,
2.3432,0.245151,0.969483,0.00174303,0.649405,-0.760432,-0.0040008,0.246395,0.969167,0.00203875,
2.3533,0.246591,0.969119,0.00144778,0.652411,-0.757856,-0.00365171,0.247992,0.96876,0.00187217,
2.3634,0.24776,0.968821,0.00115315,0.655129,-0.75551,-0.00325506,0.249417,0.968395,0.00165433,
2.3735,0.248676,0.968586,0.000886226,0.657541,-0.753413,-0.00284943,0.250628,0.968082,0.00139987,
2.3836,0.249376,0.968406,0.000666493,0.659658,-0.751562,-0.00247202,0.251602,0.96783,0.00112957,
2.3937,0.249911,0.968269,0.000505286,0.661517,-0.749927,-0.00215492,0.252333,0.96764,0.000868726,
2.4038,0.250336,0.968159,0.000406486,0.663174,-0.748463,-0.00192231,0.252841,0.967508,0.000644275,
2.4139,0.250707,0.968063,0.000368034,0.664697,-0.747111,-0.0017887,0.253171,0.967422,0.000481155,
2.424,0.251073,0.967968,0.000383795,0.666164,-0.745803,-0.00175857,0.253387,0.967365,0.000398495,
